StudentID,AttendanceRate,StudyTime,FinalExamScore,Pass/Fail
1,74.98,12.5,53.95,0
2,98.03,4.2,52.32,0
3,89.28,2.2,45.53,0
4,83.95,19.0,100.0,1
5,66.24,19.3,84.81,1
6,66.24,16.4,56.49,0
7,62.32,6.8,51.4,0
8,94.65,2.9,50.72,0
9,84.04,14.0,70.25,1
10,88.32,9.4,73.78,1
11,60.82,3.3,48.97,0
12,98.8,10.4,84.71,1
13,93.3,1.7,42.51,0
14,68.49,18.3,76.9,1
15,67.27,5.9,51.7,0
16,67.34,13.6,77.43,1
17,72.17,6.9,48.54,0
18,80.99,10.9,65.89,1
19,77.28,11.4,56.08,0
20,71.65,4.5,35.11,0
21,84.47,19.4,98.86,1
22,65.58,15.7,85.6,1
23,71.69,18.9,82.37,1
24,74.65,18.0,92.36,1
25,78.24,12.4,73.74,1
26,91.41,18.5,85.5,1
27,67.99,2.7,44.36,0
28,80.57,4.7,67.42,1
29,83.7,1.9,46.24,0
30,61.86,7.2,64.58,1
